Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
what's up tenis,5,5,90,11,0.09,https://www.amazon.com.mx/tenis-what-up/s?k=tenis+what+up,4,0,0.00,0.76,100,"[100,100,53,65,41,53,65,24,53,53,29,41]",2025-08-19,"Image pack, Related searches","commercial, informational",Organic
zapatos soda,4,4,590,30,0.11,https://www.amazon.com.mx/Soda-Kinder-Zapato-tac%C3%B3n-grueso/dp/B0CCPTD6YR,4,0,0.00,0.59,86,"[67,82,100,100,100,67,55,55,55,55,44,36]",2025-09-06,"Image pack, Video, Image, Popular products, Related searches","commercial, informational",Image pack
zapatos soda,4,4,590,30,0.11,https://www.amazon.com.mx/Soda-Shoes-Sandalias-primavera-martillo/dp/B0C5S6JPTJ,4,0,0.00,0.59,86,"[67,82,100,100,100,67,55,55,55,55,44,36]",2025-09-06,"Image pack, Video, Image, Popular products, Related searches","commercial, informational",Image pack
vestido lila con tenis,4,4,140,31,0.00,https://www.amazon.com.mx/Vestidos-de-Tenis-para-Mujer-Morado/s?rh=n%3A9790714011%2Cp_n_size_six_browse-vebin%3A14145065011,4,0,0.00,0.56,95,"[100,65,100,100,81,19,19,12,15,12,19,35]",2025-09-04,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
zapatillas rojas para niñas,4,4,90,21,0.00,https://www.amazon.com.mx/Zapatos-para-Ni%C3%B1as-Rojo-Moda-de/s?rh=n%3A14093034011%2Cp_n_size_six_browse-vebin%3A14145070011&page=2,4,0,0.00,0.97,1070000,"[100,100,33,67,33,33,33,33,33,33,33,67]",2025-09-05,"Image pack, Video, Image, Related searches",informational,Organic
para que sirven los zapatos ortopedicos,1,1,140,25,0.00,https://www.amazon.com.mx/Zapatos-ortop%C3%A9dicos-peque%C3%B1os-corrigen-previenen/dp/B0BM56S74R,4,0,0.00,0.01,862000,"[82,53,82,100,100,82,65,65,82,82,100,65]",2025-08-31,"Image pack, Video, People also ask, Related searches, AI overview",informational,People also ask
zapatos de masha y el oso,8,8,140,28,0.00,https://www.amazon.com.mx/Wocoro-Masha-Tenis-Velcro-Flores/dp/B07YXCNSXT,4,0,0.00,0.05,62,"[81,100,67,81,81,67,43,67,67,43,52,52]",2025-09-01,"Image pack, Video, Image, Related searches",informational,Organic
zapatillas de pole dance,1,1,320,28,0.04,https://www.amazon.com.mx/DANDANJIE-Zapatillas-Transparentes-Plataforma-Sandalias/dp/B07P3LPFLK,4,0,0.00,0.98,76,"[100,100,82,82,100,82,67,67,82,67,67,67]",2025-09-02,"Image pack, Video, Image, Popular products, Related searches","commercial, informational",Image pack
tenis nike mujer plataforma,5,5,480,35,0.09,https://www.amazon.com.mx/tenis-nike-plataforma-mujer/s?k=tenis+nike+plataforma+mujer,4,0,0.00,1,96,"[66,66,100,81,66,81,81,66,100,100,66,54]",2025-09-10,"Image pack, Sitelinks, Image, Related searches",informational,Organic
stefan janoski tenis,5,5,90,28,0.09,https://www.amazon.com.mx/nike-stefan-janoski/s?k=nike+stefan+janoski,4,0,0.00,0.39,44,"[100,36,21,50,50,79,64,64,64,100,100,79]",2025-08-28,"Image pack, Video, Image, Related searches",informational,Organic
zapatos plataforma nude,10,10,170,17,0.11,https://www.amazon.com.mx/Zapatillas-Plataforma-Sandalia-Tac%C3%B3n-Premium/dp/B0CWJKSCPL,4,0,0.00,1,1430000,"[81,81,65,100,81,65,54,81,54,54,54,42]",2025-08-30,"Image pack, Video, Image, Related searches",informational,Organic
zapatos cafes mujer flexi,2,2,260,22,0.03,https://www.amazon.com.mx/La-tienda-de-Flexi-en-Amazon/s?rh=n%3A17434944011%2Cp_n_size_six_browse-vebin%3A14145061011,4,0,0.00,1,67,"[67,54,67,67,67,100,44,54,100,67,67,44]",2025-08-31,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatillas para correr mujer,6,6,140,21,0.10,https://www.amazon.com.mx/b?ie=UTF8&node=14094383011,4,0,0.00,1,83,"[52,81,100,67,81,67,67,67,52,43,67,67]",2025-08-17,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
zapatos alemanes,7,7,140,25,0.15,https://www.amazon.com.mx/ZEILING-entrenamiento-informales-americano-vers%C3%A1tiles/dp/B0DFN9TCYT,4,0,0.00,0.71,94,"[52,52,67,67,43,67,67,100,81,67,52,67]",2025-09-03,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
como pintar unos zapatos,1,1,70,31,0.00,https://www.amazon.com.mx/KRAKEN-Pintura-profesional-sint%C3%A9ticos-textiles/dp/B09YQGSL29,4,0,0.00,0.87,9420000,"[14,14,14,14,43,14,14,14,100,14,29,14]",2025-09-12,"Image pack, Video, People also ask, Related searches",informational,People also ask
zapatos zuecos para mujer en méxico,5,5,90,23,0.08,https://www.amazon.com.mx/b?ie=UTF8&node=14093256011,4,0,0.00,1,67,"[50,29,29,64,29,64,79,64,79,79,100,79]",2025-09-05,"Image pack, Video, People also ask, Related searches",informational,Organic
zapatos de seguridad kroogen,5,5,90,20,0.09,https://www.amazon.com.mx/botas-kroogen/s?k=botas+kroogen,4,0,0.00,1,56,"[64,9,100,27,9,9,9,27,9,82,9,82]",2025-08-27,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis lv hombre,9,9,2900,36,0.04,https://www.amazon.com.mx/tenis-louis-vuitton-hombre/s?k=tenis+louis+vuitton+hombre,4,0,0.00,0.78,3180000,"[67,53,67,81,100,81,67,81,81,81,81,100]",2025-10-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis blancos mujer puma,1,1,1000,31,0.05,https://www.amazon.com.mx/PUMA-rematar-Tenis-para-Mujer/dp/B083R617DC,4,0,0.00,1,6530000,"[100,62,62,100,100,62,45,55,45,55,45,45]",2025-10-06,"Image pack, Sitelinks, Image, Related searches",informational,Image pack
tenis apolo,5,5,90,25,0.00,https://www.amazon.com.mx/Tenis-Lotto-Apolo-para-Mujer/dp/B0CG8RDQ45,4,0,0.00,0.51,86,"[82,82,100,64,82,100,64,64,64,100,100,64]",2025-08-28,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis blancos hombre piel,9,9,140,15,0.08,https://www.amazon.com.mx/tenis-blancos-piel-hombre/s?k=tenis+blancos+piel+hombre,4,0,0.00,1,95,"[67,43,43,52,81,81,52,81,100,100,52,81]",2025-08-17,"Image pack, Video, Image",informational,Organic
tenis jordan jumpman 23,1,1,170,31,0.07,https://www.amazon.com.mx/Nike-Jordan-Jumpman-2021-baloncesto/dp/B0CCD25R4M,4,0,0.00,0.63,68,"[81,81,81,52,81,81,81,67,81,100,67,52]",2025-09-03,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
tenis rocket dog,3,3,110,14,0.08,https://www.amazon.com.mx/Rocket-Dog-Jazzincvw-Zapatillas-Mujer/dp/B0BFWWBSCN,4,0,0.00,0.51,53,"[100,79,64,100,100,64,64,64,79,100,79,64]",2025-08-30,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
zapatos flats,7,7,2900,23,0.08,https://www.amazon.com.mx/flats-mujer-elegantes/s?k=flats+mujer+elegantes,4,0,0.00,1,10700000,"[81,67,67,81,100,67,81,81,81,81,100,100]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
zapatos cafes casuales hombre,6,6,110,16,0.07,https://www.amazon.com.mx/Casuales-para-Hombre-Caf%C3%A9-Zapatos/s?rh=n%3A34674052011%2Cp_n_size_six_browse-vebin%3A14145061011,4,0,0.00,1,183000,"[16,22,22,34,22,44,28,28,44,100,66,44]",2025-09-11,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis futbol hombre,13,13,590,31,0.10,https://www.amazon.com.mx/tenis-futbol-7-hombre/s?k=tenis+futbol+7+hombre,4,0,0.00,1,68,"[67,54,82,100,82,82,67,82,82,67,100,100]",2025-09-08,"Image pack, Video, Image, Related searches","commercial, informational",Organic
tenis makkena,11,11,320,17,0.05,https://www.amazon.com.mx/ZAPATERIAS-MEXICO-Tenis-Makkena-516/dp/B0CXRXD8P8,4,0,0.00,0.74,23,"[67,81,100,54,67,54,54,54,67,67,54,67]",2025-08-30,"Knowledge panel, Image pack, Sitelinks, Image, Related searches",informational,Organic
jordan space jam tenis,5,5,90,23,0.00,https://www.amazon.com.mx/JORDAN-Space-negro-blanco-oscuro/dp/B0BVDWH1RV,4,0,0.00,0.25,609000,"[100,52,67,52,52,33,24,19,14,19,14,14]",2025-09-05,"Image pack, Video, Image, Related searches",informational,Organic
tenis puma mujer amazon,3,3,260,33,0.08,https://www.amazon.com.mx/Calzado-de-Tenis-para-Mujer-PUMA/s?rh=n%3A14093799011%2Cp_89%3APUMA,4,0,0.00,0.99,5560000,"[44,67,82,100,54,54,54,44,54,54,54,67]",2025-09-12,"Image pack, Image, Related searches","informational, transactional",Organic
zapatos industriales de mujer,4,4,90,15,0.09,https://www.amazon.com.mx/b?ie=UTF8&node=14094204011,4,0,0.00,1,7250000,"[100,11,44,22,11,11,11,56,11,11,56,11]",2025-09-07,"Image pack, Video, Image, Related searches",informational,Organic
tenis para jugar en pasto sintetico,4,4,140,29,0.09,https://www.amazon.com.mx/tenis-pasto-sint%C3%A9tico/s?k=tenis+pasto+sint%C3%A9tico,4,0,0.00,1,92,"[100,100,100,100,82,82,82,82,65,53,82,53]",2025-08-17,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
travestis en zapatillas,5,5,90,29,0.00,https://www.amazon.com.mx/gp/bestsellers/hpc/16610264011,4,0,0.00,0,348000,"[20,20,20,20,100,20,40,20,20,60,20,60]",2025-08-18,Sitelinks,informational,Organic
tenis saint laurent,3,3,1900,31,0.07,https://www.amazon.com.mx/Cordones-repuesto-tenis-Laurent-Blanco/dp/B0BDDPLR69,4,0,0.00,0.94,5010000,"[53,44,44,53,100,81,67,53,53,53,53,53]",2025-10-11,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Ads middle",informational,Image pack
zapatillas on,3,3,260,39,0.10,https://www.amazon.com.mx/on-running-mexico/s?k=on+running+mexico,4,0,0.00,1,71400000,"[35,35,44,54,100,54,44,44,44,35,81,67]",2025-08-30,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
como pintar unos tenis adidas,1,1,110,31,0.00,https://www.amazon.com.mx/Angelus-Acrylic-Leather-Paint-Starter/dp/B00PP9LM12,4,0,0.00,0.6,913000,"[41,53,53,65,82,65,53,82,82,100,82,82]",2025-08-18,"Image pack, Video, People also ask, Related searches, AI overview",informational,People also ask
tenis blancos con verde,13,13,590,20,0.11,https://www.amazon.com.mx/tenis-adidas-mujer-originales-rayas-verde/s?k=tenis+adidas+mujer+originales+rayas+verde,4,0,0.00,1,19400000,"[82,82,67,67,82,100,67,67,82,82,55,44]",2025-09-10,"Image pack, Video, Image, Related searches",informational,Organic
tenis lacoste mujer originales,7,7,720,29,0.06,https://www.amazon.com.mx/Zapatos-para-Mujer-Lacoste-Moda-Femenina/s?rh=n%3A14093028011%2Cp_89%3ALacoste,4,0,0.00,0.95,99,"[59,59,59,72,88,88,88,72,100,88,72,72]",2025-09-08,"Image pack, Video, Image, Related searches",informational,Organic
tenis puma ferrari niño,4,4,90,22,0.17,https://www.amazon.com.mx/tenis-ferrari-ni%C3%B1o/s?k=tenis+ferrari+ni%C3%B1o,4,0,0.00,1,62,"[79,79,100,64,79,79,79,50,50,64,36,64]",2025-09-04,"Image pack, Video, Image, Related searches",informational,Organic
vans tenis,13,13,5400,28,0.06,https://www.amazon.com.mx/Vans/s?k=Vans,4,0,0.00,0.86,20000000,"[67,67,67,82,67,67,82,100,82,67,82,82]",2025-10-04,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
zapatos comodos para trabajar muchas horas de pie mujer,8,8,480,26,0.05,https://www.amazon.com.mx/deportivos-trabajar-transpirables-cordones-transpirable/dp/B0B8T84NWF,4,0,0.00,1,2410000,"[100,82,82,54,67,67,67,67,54,44,44,44]",2025-09-07,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
tenis vans plataforma,6,6,590,30,0.08,https://www.amazon.com.mx/vans-old-skool-plataforma-mujer/s?k=vans+old+skool+plataforma+mujer,4,0,0.00,1,69,"[100,82,100,82,82,67,67,67,82,82,67,44]",2025-09-07,"Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
zapatos de lona,2,2,320,31,0.04,https://www.amazon.com.mx/water-shoes/s?k=water+shoes,4,0,0.00,1,93,"[100,100,82,67,67,82,82,82,82,67,67,100]",2025-09-12,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",informational,People also ask
tenis jordan spiderman,3,3,320,34,0.09,https://www.amazon.com.mx/jordan-spiderman/s?k=jordan+spiderman,4,0,0.00,0.41,1070000,"[100,100,100,100,100,82,54,54,82,100,67,54]",2025-09-12,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
tenis japoneses marcas,7,7,140,24,0.15,https://www.amazon.com.mx/tenis-japoneses-hombre/s?k=tenis+japoneses+hombre,4,0,0.00,0.58,97,"[100,81,100,54,54,35,42,35,54,42,54,42]",2025-08-22,"Image pack, Video, Image, Related searches","commercial, informational",Organic
tenis en amazon para mujer,4,4,480,33,0.10,https://www.amazon.com.mx/b?ie=UTF8&node=9790585011,4,0,0.00,1,23000000,"[100,100,100,81,81,81,81,66,100,66,44,36]",2025-09-03,"Image pack, Image, Related searches","informational, transactional",Organic
tenis en amazon para mujer,5,5,480,33,0.10,https://www.amazon.com.mx/gp/bestsellers/shoes/14093799011,4,0,0.00,1,23000000,"[100,100,100,81,81,81,81,66,100,66,44,36]",2025-09-03,"Image pack, Image, Related searches","informational, transactional",Organic
tenis air force 1 grises,4,4,90,24,0.00,https://www.amazon.com.mx/Nike-Damen-Force-Premium-Sneaker/dp/B0FCK7X5QB,4,0,0.00,0.97,64,"[53,53,41,41,65,82,53,53,65,100,53,41]",2025-08-18,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",informational,Organic
tenis discovery hombre,6,6,110,16,0.04,https://www.amazon.com.mx/tenis-discovery-hombre/s?k=tenis+discovery+hombre,4,0,0.00,1,67,"[82,41,65,82,100,100,29,65,65,65,53,24]",2025-09-01,"Image pack, Video, Image, Related searches",informational,Organic
jesse's tenis,1,1,320,31,0.06,https://www.amazon.com.mx/yeezy-350/s?k=yeezy+350,4,0,0.00,0.57,43,"[100,67,81,67,67,54,67,67,81,81,67,67]",2025-09-10,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
zapatos color vino mujer,4,4,590,31,0.08,https://www.amazon.com.mx/HFFW-Stiletto-Puntiagudo-Plataforma-Individuales/dp/B09P3ZH6F8,4,0,0.00,1,15800000,"[20,20,20,30,24,30,37,45,81,100,45,30]",2025-09-10,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
tenis dama blancos,3,3,390,28,0.05,https://www.amazon.com.mx/YOKNETIG-Blancos-Zapatos-Plataforma-Informal/dp/B0CSWL4PKW,4,0,0.00,1,9470000,"[66,54,81,54,100,81,54,66,81,100,66,44]",2025-09-07,"Image pack, Video, Image, Related searches",informational,Image pack
tenis dama blancos,3,3,390,28,0.05,https://www.amazon.com.mx/RELAAX-Casual-Blanco-Zapatillas-Deportivos/dp/B0BR86YK14,4,0,0.00,1,9470000,"[66,54,81,54,100,81,54,66,81,100,66,44]",2025-09-07,"Image pack, Video, Image, Related searches",informational,Image pack
tenis terra,1,1,210,20,0.21,https://www.amazon.com.mx/Mundo-Terra-Caballero-antiderrapante-Multicolor/dp/B0CK13QGB1,4,0,0.00,0.65,81,"[81,81,100,100,100,81,65,54,65,65,54,54]",2025-09-03,"Image pack, Video, Image, Related searches",informational,Image pack
zapatos senderismo mujer,7,7,880,16,0.05,https://www.amazon.com.mx/Senderismo-Antideslizantes-Resistentes-Transpirables-Zapatillas/dp/B09JNZ6WGH,4,0,0.00,1,7560000,"[88,72,88,72,59,100,88,88,59,72,88,88]",2025-10-10,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","commercial, informational",Image pack
zapatos senderismo mujer,7,7,880,16,0.05,https://www.amazon.com.mx/LASUDRAA-Senderismo-Impermeable-Antideslizante-Informal/dp/B0DHKXR8JL,4,0,0.00,1,7560000,"[88,72,88,72,59,100,88,88,59,72,88,88]",2025-10-10,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","commercial, informational",Image pack
tenis nike air 270,5,5,480,37,0.09,https://www.amazon.com.mx/nike-air-max-270/s?k=nike+air+max+270,4,0,0.00,0.79,7340000,"[66,81,81,81,81,66,66,81,81,100,81,66]",2025-09-10,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis kyrie irving 5 bob esponja,6,6,110,27,0.00,https://www.amazon.com.mx/tenis-bob-esponja-nike/s?k=tenis+bob+esponja+nike,4,0,0.00,0.14,64,"[82,82,65,100,65,53,53,65,82,53,41,41]",2025-08-28,"Image pack, Video, Image, Related searches",informational,Organic
amazon tenis jordan,4,4,320,33,0.11,https://www.amazon.com.mx/tenis-jordan-mujer/s?k=tenis+jordan+mujer,4,0,0.00,0.99,5550000,"[100,82,100,100,100,67,82,82,100,100,67,54]",2025-09-12,"Image pack, Video, Related searches","navigational, transactional",Organic
zapatos waterproof hombre,7,7,170,19,0.08,https://www.amazon.com.mx/botas-waterproof/s?k=botas+waterproof,4,0,0.00,1,87,"[19,54,42,81,100,54,81,54,65,81,81,65]",2025-09-09,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
zapatos perry ellis portfolio,4,4,140,31,0.12,https://www.amazon.com.mx/zapatos-perry-ellis-hombre/s?k=zapatos+perry+ellis+hombre,4,0,0.00,0.48,27,"[82,65,65,53,100,82,100,82,82,82,82,53]",2025-08-26,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
tenis turf,7,7,880,26,0.05,https://www.amazon.com.mx/zapatos-de-futbol-soccer-turf/s?k=zapatos+de+futbol+soccer+turf,4,0,0.00,1,8770000,"[88,100,100,88,59,88,72,100,59,72,72,72]",2025-10-05,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
zapatos de corcho,2,2,110,26,0.00,https://www.amazon.com.mx/sandalias-de-corcho/s?k=sandalias+de+corcho,4,0,0.00,0.95,2090000,"[65,65,100,82,65,53,29,65,41,41,53,53]",2025-09-01,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
zapatos rojos plataforma,6,6,140,25,0.04,https://www.amazon.com.mx/zapatos-rojos-mujer-tacon/s?k=zapatos+rojos+mujer+tacon,4,0,0.00,0.96,1500000,"[82,65,65,41,82,82,65,82,82,100,65,82]",2025-08-19,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
tenis kaepa originales,3,3,320,30,0.12,https://www.amazon.com.mx/Kaepa/s?k=Kaepa,4,0,0.00,0.26,33,"[67,67,67,81,67,54,54,81,67,100,81,67]",2025-08-31,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis pirma urbano para mujer,6,6,590,30,0.06,https://www.amazon.com.mx/tenis-pirma-urbano-mujer/s?k=tenis+pirma+urbano+mujer,4,0,0.00,1,31,"[100,82,100,100,82,82,67,82,67,67,54,44]",2025-09-09,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
amazon tenis hombre,6,6,590,34,0.12,https://www.amazon.com.mx/Calzado-de-Tenis-para-Hombre-Deportivo/s?rh=n%3A14093598011%2Cp_89%3ANew%2BBalance,4,0,0.00,1,20800000,"[55,55,67,82,82,67,67,67,100,100,55,44]",2025-09-05,"Image pack, Video, Image, Related searches","informational, transactional",Organic
zapatos clarks mujer catalogo,3,3,260,27,0.06,https://www.amazon.com.mx/Zapatos-para-Mujer-Clarks-Moda-Femenina/s?rh=n%3A14093028011%2Cp_89%3AClarks,4,0,0.00,0.83,74,"[82,67,100,67,82,54,67,67,67,54,67,54]",2025-09-09,"Image pack, Sitelinks, Image, Related searches",navigational,Organic
tenis hombre 26,8,8,140,20,0.10,https://www.amazon.com.mx/tenis-hombre-26/s?k=tenis+hombre+26,4,0,0.00,1,89,"[27,15,42,54,27,81,27,42,81,100,35,65]",2025-08-26,"Image pack, Image, Related searches",informational,Organic
desinfectante para zapatos,1,1,210,17,0.04,https://www.amazon.com.mx/Desinfectante-Calzado-adi%C3%B3s-talco-piezas/dp/B09DFFX8GT,4,0,0.00,0.98,2400000,"[53,53,81,66,66,81,100,81,81,66,53,66]",2025-10-17,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","commercial, informational",Image pack
zapatillas cerradas blancas,5,5,90,19,0.06,https://www.amazon.com.mx/zapatillas-blancas/s?k=zapatillas+blancas,4,0,0.00,0.99,79,"[64,79,100,79,100,50,36,64,79,50,64,79]",2025-08-26,"Image pack, Video, Image, Related searches",informational,Organic
shaquille o neal tenis,10,10,2900,31,0.05,https://www.amazon.com.mx/Shaq-HEIGHTSMID-SIMIPIEL-Blanco-857029/dp/B0CMK4Y3ZY,4,0,0.00,0.87,607000,"[11,11,100,67,54,36,23,23,23,23,23,20]",2025-10-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis rockport,3,3,140,28,0.07,https://www.amazon.com.mx/Zapatos-para-Hombre-Rockport-Moda-Masculina/s?rh=n%3A14093017011%2Cp_89%3ARockport,4,0,0.00,0.91,47,"[82,82,100,82,100,100,65,82,65,65,65,53]",2025-09-11,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
tenis color caqui,9,9,140,23,0.08,https://www.amazon.com.mx/Fabi%C3%A1n-Arenas-Casuales-Hombre-9100/dp/B0DXYYLK2R,4,0,0.00,1,81,"[52,100,52,52,67,100,67,81,67,81,81,52]",2025-08-17,"Image pack, Video, Image, Related searches",informational,Organic
hot sale tenis,12,12,320,20,0.00,https://www.amazon.com.mx/tenis-hot-sale/s?k=tenis+hot+sale,4,0,0.00,0.44,43700000,"[1,1,100,2,3,3,1,1,1,0,1,1]",2025-09-08,"Image pack, Video, Image, Popular products, Related searches","commercial, informational",Organic
tenis para pie con espolon,4,4,70,27,0.03,https://www.amazon.com.mx/zapatos-espolon-calcaneo-mujer/s?k=zapatos+espolon+calcaneo+mujer,4,0,0.00,1,82,"[64,7,21,100,21,7,100,50,14,29,21,14]",2025-09-04,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis cheetos,5,5,320,27,0.11,https://www.amazon.com.mx/CHEETOS-TORCIDITOS-56g-caja-bolsas/dp/B07R6V5FGG,4,0,0.00,0.38,74,"[100,44,44,36,81,54,44,36,44,81,66,44]",2025-09-08,"Sitelinks, People also ask, Related searches",informational,People also ask
tenis tucane,6,6,110,22,0.05,https://www.amazon.com.mx/TUCANE-Tenis-Casuales-Caballero-FlexSoles/dp/B0D79P6H52,4,0,0.00,0.98,54,"[3,3,13,34,44,34,44,22,34,100,34,34]",2025-08-21,"Image pack, Video, Image, Related searches",informational,Organic
zapatos tipo converse,3,3,140,29,0.00,https://www.amazon.com.mx/tenis-tipo-converse/s?k=tenis+tipo+converse,4,0,0.00,0.93,8510000,"[100,100,82,82,100,82,82,82,100,100,53,53]",2025-08-18,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",informational,Organic
tenis coach hombre bota,9,9,1000,30,0.05,https://www.amazon.com.mx/tenis-coach-hombre-originales/s?k=tenis+coach+hombre+originales,4,0,0.00,0.87,943000,"[62,81,81,100,100,62,62,62,55,55,45,45]",2025-10-13,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatos de suela de goma para mujer,4,4,140,28,0.00,https://www.amazon.com.mx/zapatos-de-goma-mujer/s?k=zapatos+de+goma+mujer,4,0,0.00,0.96,76,"[67,100,52,67,100,81,100,43,67,43,67,52]",2025-08-23,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
zapatos de vestir para mujer,12,12,2900,27,0.06,https://www.amazon.com.mx/zapatos-oficina-mujer/s?k=zapatos+oficina+mujer,4,0,0.00,1,50800000,"[43,66,66,82,100,66,82,55,43,36,43,82]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis cloud,13,13,6600,35,0.12,https://www.amazon.com.mx/ON-Running-Womens-Cloud-Hi-Sneakers/dp/B08NS76N6H,4,0,0.00,1,32700000,"[81,81,81,81,81,100,100,100,81,81,81,100]",2025-10-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis polo para hombre,9,9,140,21,0.06,https://www.amazon.com.mx/zapatos-polo-hombre/s?k=zapatos+polo+hombre,4,0,0.00,0.98,60,"[54,42,42,54,54,42,35,100,65,65,35,35]",2025-08-23,"Image pack, Video, Image, Related searches",informational,Organic
tenis piel hombre,6,6,720,18,0.10,https://www.amazon.com.mx/estampado-cocodrilo-levantamiento-antideslizantes-casuales/dp/B0BNX8GRGY,4,0,0.00,1,39900000,"[72,59,72,88,100,88,72,48,39,72,59,59]",2025-10-14,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis pirma rosas,7,7,140,17,0.00,https://www.amazon.com.mx/Original-Comodidad-Temporada-Tendencia-Plataforma/dp/B0CGMFDJNL,4,0,0.00,1,53,"[81,100,81,100,43,67,43,67,81,81,67,52]",2025-08-18,"Image pack, Video, Image, Related searches",informational,Organic
tenis nike jordan blancos,4,4,480,35,0.09,https://www.amazon.com.mx/jordan-blancos/s?k=jordan+blancos,4,0,0.00,0.74,96,"[44,44,55,55,67,100,55,44,67,67,44,44]",2025-08-31,"Image pack, Image, Related searches",informational,Organic
tenis mujer grises,6,6,110,25,0.06,https://www.amazon.com.mx/tenis-grises-mujer/s?k=tenis+grises+mujer,4,0,0.00,1,76900000,"[53,53,65,65,53,53,29,53,82,100,82,29]",2025-08-20,"Image pack, Sitelinks, Image, Related searches",informational,Organic
tenis casual negro hombre,8,8,140,19,0.31,https://www.amazon.com.mx/Casuales-para-Hombre-Negro-Zapatos/s?rh=n%3A34674052011%2Cp_n_size_six_browse-vebin%3A14145068011,4,0,1.00,1,15900000,"[27,35,35,42,42,65,100,54,42,54,81,81]",2025-08-22,"Image pack, Video, Image, Related searches",informational,Organic
zapatos de dama de moda,4,4,90,28,0.08,https://www.amazon.com.mx/Zapatos-para-Mujer-Normal-Moda-Femenina/s?rh=n%3A14093028011%2Cp_n_feature_two_browse-bin%3A14145504011,4,0,0.00,1,29200000,"[64,79,79,79,79,64,64,64,64,100,50,64]",2025-08-31,"Image pack, Video, Image, Related searches",informational,Organic
tenis blancos charly mujer,11,11,320,14,0.07,https://www.amazon.com.mx/tenis-charly-mujer-blancos/s?k=tenis+charly+mujer+blancos,4,0,0.00,1,66,"[81,67,54,81,67,100,100,54,67,67,67,54]",2025-09-04,"Image pack, Video, Image",informational,Organic
zapatos piccadilly,11,11,320,15,0.15,https://www.amazon.com.mx/piccadilly-zapatos-mujer/s?k=piccadilly+zapatos+mujer,4,0,0.00,0.96,96,"[100,82,100,82,67,54,44,82,100,100,82,82]",2025-09-04,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, See results about, Ads middle",informational,Organic
zapatos de salsa,9,9,170,25,0.11,https://www.amazon.com.mx/b?ie=UTF8&node=14093777011,4,0,0.00,1,13800000,"[100,81,100,65,65,54,65,81,81,42,81,65]",2025-08-28,"Local pack, Image pack, Video, Image, Related searches",commercial,Organic
